Symbol Name,Reference,Footprint,Description,Datasheet,Keywords,FP Filters,Text,Kicad Extends,Derive From,MIN Width,MIN Height,W Padding,H Padding,In BOM,On Board,hide pin numbers,pin name offset,hide pin names,text font size,h r/v gap,w r/v gap,text gap
,,30,~{WAIT/RB},open_collector,line,,,,,,,,,,,,,,,,,
,,30,~{W/REQB},output,line,,,,,,,,,,,,,,,,,
,,---,,,,,,,,,,,,,,,,,,,,
,,20,PCLK,input,clock,,,,,,,,,,,,,,,,,
,right,13,RxDA,input,line,,,,,,,,,,,,,,,,,
,,12,~{RTxCA},input,line,,,,,,,,,,,,,,,,,
,,15,TxDA,output,line,,,,,,,,,,,,,,,,,
,,14,~{TRxCA},bidirectional,line,,,,,,,,,,,,,,,,,
,,---,,,,,,,,,,,,,,,,,,,,
,,11,~{SYNCA},bidirectional,line,,,,,,,,,,,,,,,,,
,,---,,,,,,,,,,,,,,,,,,,,
,,16,~{DTR/RA},output,line,,,,,,,,,,,,,,,,,
,,16,~{D/REQTRA},output,line,,,,,,,,,,,,,,,,,
,,19,~{DCDA},input,line,,,,,,,,,,,,,,,,,
,,17,~{RTSA},output,line,,,,,,,,,,,,,,,,,
,,18,~{CTSA},input,line,,,,,,,,,,,,,,,,,
,,---,,,,,,,,,,,,,,,,,,,,
,,27,RxDB,input,line,,,,,,,,,,,,,,,,,
,,28,~{RTxCB},input,line,,,,,,,,,,,,,,,,,
,,25,TxDB,output,line,,,,,,,,,,,,,,,,,
,,26,~{TRxCB},bidirectional,line,,,,,,,,,,,,,,,,,
,,---,,,,,,,,,,,,,,,,,,,,
,,29,~{SYNCB},bidirectional,line,,,,,,,,,,,,,,,,,
,,---,,,,,,,,,,,,,,,,,,,,
,,24,~{DTR/RB},output,line,,,,,,,,,,,,,,,,,
,,24,~{D/REQTRB},output,line,,,,,,,,,,,,,,,,,
,,21,~{DCDB},input,line,,,,,,,,,,,,,,,,,
,,23,~{RTSB},output,line,,,,,,,,,,,,,,,,,
,,22,~{CTSB},input,line,,,,,,,,,,,,,,,,,
,,---,,,,,,,,,,,,,,,,,,,,
,top,9,VCC,power_in,line,1,,,,,,,,,,,,,,,,
,bottom,31,GND,power_in,line,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Z8530,,,,,SCC serial communication,,,,Z8030,,,,,,,,,,,,,
,left,"40,1,39,2,38,3,37,4",D$,bidirectional,line,1.5,,,,,,,,,,,,,,,,
,left,35,~{WR},input,line,,,,,,,,,,,,,,,,,
,,36,~{RD},input,,,,,,,,,,,,,,,,,,
,,34,A/~{B},input,,,,,,,,,,,,,,,,,,
,delete,33,,,,,,,,,,,,,,,,,,,,
,left,32,D/~{C},input,line,,,,,,,,,,,,,,,,,
,delete,32,,,,,,,,,,,,,,,,,,,,
,left,33,~{CE},input,line,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Z8036,U,,"CIO Counter/Timer and Parallel I/O Unit, DIP-40",https://pdf1.alldatasheet.com/datasheet-pdf/download/165001/ZILOG/Z8036.html,CIO counter timer parallel Z-bus,DIP*W15.24mm*,CIO,,,4,,1.5,,,,,,,,,,
,left,"37,38,39,40,1,2,3,4",AD$,bidirectional,line,1.5,,,,,,,,,,,,,,,,
,,---,,,,,,,,,,,,,,,,,,,,
,left,34,~{AS},input,line,,,,,,,,,,,,,,,,,
,,5,~{DS},input,,,,,,,,,,,,,,,,,,
,,6,R/~{W},input,,,,,,,,,,,,,,,,,,
,,36,~{CS0},input,,,,,,,,,,,,,,,,,,
,,35,CS1,input,,,,,,,,,,,,,,,,,,
,,---,,,,,,,,,,,,,,,,,,,,
,,24,~{INT},open_collector,line,,,,,,,,,,,,,,,,,
,,17,IEI,input,,,,,,,,,,,,,,,,,,
,,18,IEO,output,,,,,,,,,,,,,,,,,,
,,25,~{INTACK},input,,,,,,,,,,,,,,,,,,
,,---,,,,,,,,,,,,,,,,,,,,
,,16,PCLK,input,clock,,,,,,,,,,,,,,,,,
,right,"33,32,31,30,29,28,27,26",PA$,bidirectional,line,,,,,,,,,,,,,,,,,
,,"33,32,31,30,29,28,27,26",PAO$,tri_state,,,,,,,,,,,,,,,,,,
,,"33,32,31,30,29,28,27,26",PAOD$,open_collector,,,,,,,,,,,,,,,,,,
,,---,,,,,,,,,,,,,,,,,,,,
,,"8,9,10,11,12,13,14,15",PB$,bidirectional,line,,,,,,,,,,,,,,,,,
,,"8,9,10,11,12,13,14,15",PBO$,tri_state,,,,,,,,,,,,,,,,,,
,,"8,9,10,11,12,13,14,15",PBOD$,open_collector,,,,,,,,,,,,,,,,,,
,,"8,12",CTTO$(2-1),output,,,,,,,,,,,,,,,,,,
,,"9,13",CTIN$(2-1),input,,,,,,,,,,,,,,,,,,
,,"10,14",CTTRG$(2-1),input,,,,,,,,,,,,,,,,,,
,,"11,15",CTGATE$(2-1),input,,,,,,,,,,,,,,,,,,
,,---,,,,,,,,,,,,,,,,,,,,
,,"19,20,21,22",PC$,bidirectional,line,,,,,,,,,,,,,,,,,
,,"19,20,21,22",PCO$,tri_state,,,,,,,,,,,,,,,,,,
,,"19,20,21,22",PCOD$,open_collector,,,,,,,,,,,,,,,,,,
,,19,CTTO3,output,,,,,,,,,,,,,,,,,,
,,20,CTIN3,input,,,,,,,,,,,,,,,,,,
,,21,CTTRG3,input,,,,,,,,,,,,,,,,,,
,,22,CTGATE3,input,,,,,,,,,,,,,,,,,,
,,"20,22",REQUEST,output,,,,,,,,,,,,,,,,,,
,,"20,22",~{WAIT},open_collector,,,,,,,,,,,,,,,,,,
,,"19,21",~{ACKIN},input,,,,,,,,,,,,,,,,,,
,,"20,22",RFD,output,,,,,,,,,,,,,,,,,,
,,"20,22",~{DAV},output,,,,,,,,,,,,,,,,,,
,,19,RFDIN,input,,,,,,,,,,,,,,,,,,
,,21,~{DAVIN},input,,,,,,,,,,,,,,,,,,
,,19,DAC,output,,,,,,,,,,,,,,,,,,
,,21,~{DACIN},input,,,,,,,,,,,,,,,,,,
,,19,IN/~{OUT},bidirectional,,,,,,,,,,,,,,,,,,
,,---,,,,,,,,,,,,,,,,,,,,
,top,23,VCC,power_in,line,1,,,,,,,,,,,,,,,,
,bottom,7,GND,power_in,line,1,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Z8536,,,,,CIO counter timer parallel,,,,Z8036,,,,,,,,,,,,,
,left,"37,38,39,40,1,2,3,4",D$,bidirectional,line,1.5,,,,,,,,,,,,,,,,
,delete,34,,,,,,,,,,,,,,,,,,,,
,,5,,,,,,,,,,,,,,,,,,,,
,,6,,,,,,,,,,,,,,,,,,,,
,,36,,,,,,,,,,,,,,,,,,,,
,,35,,,,,,,,,,,,,,,,,,,,
,left,6,~{WR},input,line,,,,,,,,,,,,,,,,,
,left,5,~{RD},input,line,,,,,,,,,,,,,,,,,
,,34,A0,input,,,,,,,,,,,,,,,,,,
,,35,A1,,,,,,,,,,,,,,,,,,,
,,36,~{CE},,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Z8038,U,,FIFO Input/Outout Interface Unit,http://t.datasheets.pl/elementy_czynne/ic/Z8538FIO.pdf,FIFO Z-bus,DIP*W15.24mm*,FIFO,,,4,,1.5,,,,,,,,,,
,left,"11,12,13,14,15,16,17,18",D1$,bidirectional,line,1.5,,,,,,,,,,,,,,,,
,,---,,,,,,,,,,,,,,,,,,,,
,,1,A,output,line,,,,,,,,,,,,,,,,,
,,1,~{REQ},output,,,,,,,,,,,,,,,,,,
,,1,~{WAIT},open_collector,,,,,,,,,,,,,,,,,,
,,2,B,input,,,,,,,,,,,,,,,,,,
,,2,~{DMASTB},,,,,,,,,,,,,,,,,,,
,,2,~{DACK},,,,,,,,,,,,,,,,,,,
,,3,C,input,,,,,,,,,,,,,,,,,,
,,3,~{DS},,,,,,,,,,,,,,,,,,,
,,3,~{RD},,,,,,,,,,,,,,,,,,,
,,4,D,input,,,,,,,,,,,,,,,,,,
,,4,R/~{W},,,,,,,,,,,,,,,,,,,
,,4,~{WR},,,,,,,,,,,,,,,,,,,
,,5,E,input,,,,,,,,,,,,,,,,,,
,,5,~{CS},,,,,,,,,,,,,,,,,,,
,,5,~{CE},,,,,,,,,,,,,,,,,,,
,,6,F,input,,,,,,,,,,,,,,,,,,
,,6,~{AS},,,,,,,,,,,,,,,,,,,
,,6,C/~{D},,,,,,,,,,,,,,,,,,,
,,7,G,input,,,,,,,,,,,,,,,,,,
,,7,~{INTACK},,,,,,,,,,,,,,,,,,,
,,7,A0,,,,,,,,,,,,,,,,,,,
,,8,H,bidirectional,,,,,,,,,,,,,,,,,,
,,8,IEO,output,,,,,,,,,,,,,,,,,,
,,8,A1,input,,,,,,,,,,,,,,,,,,
,,9,I,input,,,,,,,,,,,,,,,,,,
,,9,IEI,input,,,,,,,,,,,,,,,,,,
,,9,A2,input,,,,,,,,,,,,,,,,,,
,,10,J,bidirectional,,,,,,,,,,,,,,,,,,
,,10,~{INT},open_collector,,,,,,,,,,,,,,,,,,
,,10,A3,input,,,,,,,,,,,,,,,,,,
,,---,,,,,,,,,,,,,,,,,,,,
,,"21,19",M$,input,line,,,,,,,,,,,,,,,,,
,right,"29,28,27,26,25,24,23,22",D2$,bidirectional,line,,,,,,,,,,,,,,,,,
,,---,,,,,,,,,,,,,,,,,,,,
,,39,A,output,line,,,,,,,,,,,,,,,,,
,,39,~{REQ},output,,,,,,,,,,,,,,,,,,
,,39,~{WAIT},open_collector,,,,,,,,,,,,,,,,,,
,,39,RFD/~{DAV},output,,,,,,,,,,,,,,,,,,
,,38,B,input,,,,,,,,,,,,,,,,,,
,,38,~{DMASTB},,,,,,,,,,,,,,,,,,,
,,38,~{DACK},,,,,,,,,,,,,,,,,,,
,,38,~{ACKIN},,,,,,,,,,,,,,,,,,,
,,38,~{DAV}/DAC,,,,,,,,,,,,,,,,,,,
,,37,C,bidirectional,,,,,,,,,,,,,,,,,,
,,37,~{DS},input,,,,,,,,,,,,,,,,,,
,,37,~{RD},input,,,,,,,,,,,,,,,,,,
,,37,FULL,open_collector,,,,,,,,,,,,,,,,,,
,,37,DAC/RFD,bidirectional,,,,,,,,,,,,,,,,,,
,,36,D,bidirectional,,,,,,,,,,,,,,,,,,
,,36,R/~{W},input,,,,,,,,,,,,,,,,,,
,,36,~{WR},input,,,,,,,,,,,,,,,,,,
,,36,EMPTY,open_collector,,,,,,,,,,,,,,,,,,
,,35,E,bidirectional,,,,,,,,,,,,,,,,,,
,,35,~{CS},input,,,,,,,,,,,,,,,,,,
,,35,~{CE},input,,,,,,,,,,,,,,,,,,
,,35,~{CLEAR},bidirectional,,,,,,,,,,,,,,,,,,
,,34,F,bidirectional,,,,,,,,,,,,,,,,,,
,,34,~{AS},input,,,,,,,,,,,,,,,,,,
,,34,C/~{D},input,,,,,,,,,,,,,,,,,,
,,34,DIR,bidirectional,,,,,,,,,,,,,,,,,,
,,33,G,input,,,,,,,,,,,,,,,,,,
,,33,~{INTACK},,,,,,,,,,,,,,,,,,,
,,33,A0,,,,,,,,,,,,,,,,,,,
,,33,IN0,,,,,,,,,,,,,,,,,,,
,,32,H,bidirectional,,,,,,,,,,,,,,,,,,
,,32,IEO,output,,,,,,,,,,,,,,,,,,
,,32,A1,input,,,,,,,,,,,,,,,,,,
,,32,OUT1,output,,,,,,,,,,,,,,,,,,
,,31,I,input,,,,,,,,,,,,,,,,,,
,,31,IEI,input,,,,,,,,,,,,,,,,,,
,,31,A2,input,,,,,,,,,,,,,,,,,,
,,31,~{OE},input,,,,,,,,,,,,,,,,,,
,,30,J,bidirectional,,,,,,,,,,,,,,,,,,
,,30,~{INT},open_collector,,,,,,,,,,,,,,,,,,
,,30,A3,input,,,,,,,,,,,,,,,,,,
,,30,OUT3,output,,,,,,,,,,,,,,,,,,
,,--- 3,,,,,,,,,,,,,,,,,,,,
,top,40,VCC,power_in,line,1,,,,,,,,,,,,,,,,
,bottom,20,GND,power_in,line,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Z8060,U,,Z8060/Z8560 FIFO Buffer Unit,,FIFO,DIP*W15.24mm*,FIFO,,,4,,1.5,,,,,,,,,,
,left,"6,7,8,9,10,11,12,13",D$A,bidirectional,line,1.5,,,,,,,,,,,,,,,,
,,---,,,,,,,,,,,,,,,,,,,,
,,2,~{ACKINA},input,line,,,,,,,,,,,,,,,,,
,,1,RFD/~{DAV},output,,,,,,,,,,,,,,,,,,
,,5,~{OEA},input,,,,,,,,,,,,,,,,,,
,,---,,,,,,,,,,,,,,,,,,,,
,,24,DIR_~{A}/B,input,line,,,,,,,,,,,,,,,,,
,,25,~{CLEAR},input,,,,,,,,,,,,,,,,,,
,,---,,,,,,,,,,,,,,,,,,,,
,right,"22,21,20,19,18,17,16,15",D$B,bidirectional,,,,,,,,,,,,,,,,,,
,,---2,,,,,,,,,,,,,,,,,,,,
,,26,~{ACKINB},input,line,,,,,,,,,,,,,,,,,
,,27,RFD/~{DAV},output,,,,,,,,,,,,,,,,,,
,,23,~{OEB},input,,,,,,,,,,,,,,,,,,
,,---,,,,,,,,,,,,,,,,,,,,
,,3,FULL,open_collector,,,,,,,,,,,,,,,,,,
,,4,EMPTY,open_collector,,,,,,,,,,,,,,,,,,
,top,28,VCC,power_in,line,1,,,,,,,,,,,,,,,,
,bottom,14,GND,power_in,line,,,,,,,,,,,,,,,,,
